============================= test session starts ==============================
platform linux -- Python 3.12.2, pytest-9.0.3, pluggy-1.6.0 -- /arf/home/scolakoglu/NLP_Project/.venv-audit/bin/python
cachedir: .pytest_cache
rootdir: /arf/home/scolakoglu/NLP_Project
configfile: pyproject.toml
plugins: cov-7.1.0, hydra-core-1.3.2, anyio-4.13.0
tests/benchmark/test_corpus_stats.py::TestComputeCorpusStats::test_zipf_alpha_positive PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestComputeCorpusStats::test_empty_corpus PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestComputeCorpusStats::test_frozen_dataclass PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestRecommendCacheSize::test_returns_reasonable_int PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestRecommendCacheSize::test_high_target_returns_large PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestRecommendCacheSize::test_empty_coverage PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestRecommendCacheSize::test_already_met PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_boun_source_is_formal PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_imst_source_is_formal PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_bounti_source_is_social_media PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_tweet_source_is_social_media PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_trendyol_source_is_informal PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_ttc_source_is_news PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_hashtag_text_is_social_media PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_mention_text_is_social_media PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestClassifyDomain::test_default_is_formal PASSED [  4%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_perfect_predictions_dpd_zero PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_dpd_computation PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_tpr_disparity_sums_near_zero PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_small_domain_excluded_from_dpd PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_single_domain_dpd_zero PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_predictions_override PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestMeasureDomainBias::test_domain_results_contain_n PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestGenerateBiasSummary::test_returns_string PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestGenerateBiasSummary::test_mentions_dpd PASSED [  5%]
tests/benchmark/test_domain_bias.py::TestGenerateBiasSummary::test_insufficient_data PASSED [  6%]
tests/benchmark/test_domain_bias.py::TestFrozenDataclass::test_domain_bias_report_is_frozen PASSED [  6%]
tests/benchmark/test_ensemble.py::TestMajorityVoteLogic::test_clear_majority PASSED [  6%]
tests/benchmark/test_ensemble.py::TestMajorityVoteLogic::test_unanimous PASSED [  6%]
tests/benchmark/test_ensemble.py::TestMajorityVoteLogic::test_all_different_picks_first_in_counter PASSED [  6%]
tests/benchmark/test_ensemble.py::TestMajorityVoteLogic::test_tie_breaking_by_em PASSED [  6%]
tests/benchmark/test_ensemble.py::TestDecodePrediction::test_decode_stops_at_eos PASSED [  6%]
tests/benchmark/test_ensemble.py::TestDecodePrediction::test_decode_skips_special_tokens PASSED [  6%]
tests/benchmark/test_ensemble.py::TestEnsembleIntegration::test_instantiation SKIPPED [  6%]
tests/benchmark/test_ensemble.py::TestEnsembleIntegration::test_analyze_returns_string SKIPPED [  7%]
tests/benchmark/test_error_analysis.py::test_levenshtein_basic PASSED    [  7%]
tests/benchmark/test_error_analysis.py::test_levenshtein_diacritic_aware PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_root_substitution PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_root_truncation PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_root_extension PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_root_hallucination PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_tag_missing_and_extra PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_classify_exact_match_skipped PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_severity_monotonic_root_worse_than_tag PASSED [  7%]
tests/benchmark/test_error_analysis.py::test_compute_severity_hallucination_weights_1 PASSED [  8%]
tests/benchmark/test_error_analysis.py::test_oracle_projection_arithmetic PASSED [  8%]
tests/benchmark/test_error_analysis.py::test_confusion_matrix_case_shape PASSED [  8%]
tests/benchmark/test_error_analysis.py::test_generate_error_report_writes_files PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestExactMatch::test_perfect PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestExactMatch::test_none PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestExactMatch::test_partial PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestExactMatch::test_empty PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestRootAccuracy::test_correct_roots PASSED [  8%]
tests/benchmark/test_intrinsic_eval.py::TestRootAccuracy::test_wrong_roots PASSED [  9%]
tests/benchmark/test_intrinsic_eval.py::TestTagF1::test_perfect PASSED   [  9%]
tests/benchmark/test_intrinsic_eval.py::TestTagF1::test_partial_overlap PASSED [  9%]
tests/benchmark/test_intrinsic_eval.py::TestTagF1::test_no_tags PASSED   [  9%]
tests/benchmark/test_intrinsic_eval.py::TestAllMetrics::test_with_parse_counts PASSED [  9%]
tests/benchmark/test_llm_baseline.py::test_build_prompt_interpolation PASSED [  9%]
tests/benchmark/test_llm_baseline.py::test_build_prompt_with_context PASSED [  9%]
tests/benchmark/test_llm_baseline.py::test_parse_valid_json PASSED       [  9%]
tests/benchmark/test_llm_baseline.py::test_parse_fenced_json PASSED      [  9%]
tests/benchmark/test_llm_baseline.py::test_parse_fenced_no_lang PASSED   [  9%]
tests/benchmark/test_llm_baseline.py::test_parse_json_with_surrounding_text PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_parse_garbage_returns_none PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_parse_json_missing_keys_returns_none PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_evaluate_anthropic_returns_none_without_key PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_evaluate_openai_returns_none_without_key PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_generate_prompt_templates_writes_json PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_llm_baseline_result_dataclass PASSED [ 10%]
tests/benchmark/test_llm_baseline.py::test_llm_baseline_result_none_cost PASSED [ 10%]
tests/benchmark/test_minimal_pairs.py::test_load_pairs_from_yaml PASSED  [ 10%]
tests/benchmark/test_minimal_pairs.py::test_load_pairs_has_phenomenon_coverage PASSED [ 11%]
tests/benchmark/test_minimal_pairs.py::test_evaluate_oracle_model PASSED [ 11%]
tests/benchmark/test_minimal_pairs.py::test_evaluate_broken_model_fails PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestEmptyParses::test_compute_mis_empty_list PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestEmptyParses::test_entropy_empty_returns_zero PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestEmptyParses::test_density_empty_tags_returns_one PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestEmptyParses::test_complexity_root_only_returns_zero PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestSingleParse::test_single_parse_entropy_zero PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestSingleParse::test_mis_single_unambiguous_parse PASSED [ 11%]
tests/benchmark/test_mis_metric.py::TestEntropyIncreasesWithAmbiguity::test_one_parse_lower_than_two PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestEntropyIncreasesWithAmbiguity::test_two_parses_lower_than_four PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestEntropyIncreasesWithAmbiguity::test_entropy_equals_log2_of_n_parses PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestEntropyIncreasesWithAmbiguity::test_mis_increases_with_more_parses PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestCanonicalizationDensity::test_loc_tag_uses_count_four PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestCanonicalizationDensity::test_plu_tag_uses_count_two PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestCanonicalizationDensity::test_unknown_tag_defaults_to_one PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestCanonicalizationDensity::test_mean_over_multiple_tags PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestCanonicalizationDensity::test_mean_over_multiple_parses PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestStructuralComplexity::test_longer_chain_higher_complexity PASSED [ 12%]
tests/benchmark/test_mis_metric.py::TestStructuralComplexity::test_root_only_zero_complexity PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestStructuralComplexity::test_single_non_deriv_tag PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestStructuralComplexity::test_complexity_is_mean_over_parses PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestDerivationalTags::test_derivational_tag_increases_complexity_vs_nonderiv PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestDerivationalTags::test_all_derivational_tags_in_frozenset PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestDerivationalTags::test_mixed_deriv_ratio PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestDerivationalTags::test_full_deriv_chain PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestComputeMisReturnType::test_returns_float PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestComputeMisReturnType::test_result_in_unit_range PASSED [ 13%]
tests/benchmark/test_mis_metric.py::TestComputeMisReturnType::test_token_arg_ignored PASSED [ 14%]
tests/benchmark/test_mis_metric.py::TestComputeMisReturnType::test_consistency_with_normalized_components PASSED [ 14%]
tests/benchmark/test_mis_metric.py::TestWeights::test_weights_sum_to_one PASSED [ 14%]
tests/benchmark/test_mis_metric.py::TestWeights::test_individual_weights_positive PASSED [ 14%]
tests/benchmark/test_mis_metric.py::TestWeights::test_allomorph_counts_non_empty PASSED [ 14%]
tests/benchmark/test_robustness.py::test_deasciification_deterministic_with_seed PASSED [ 14%]
tests/benchmark/test_robustness.py::test_deasciification_respects_prob_zero PASSED [ 14%]
tests/benchmark/test_robustness.py::test_casing_turkish_i_rules PASSED   [ 14%]
tests/benchmark/test_robustness.py::test_casing_mode_unknown_raises PASSED [ 14%]
tests/benchmark/test_robustness.py::test_elongation_lengthens_vowels_and_appends_punct PASSED [ 14%]
tests/benchmark/test_robustness.py::test_code_switch_replaces_known_roots PASSED [ 15%]
tests/benchmark/test_robustness.py::test_hashtag_fuses_words PASSED      [ 15%]
tests/benchmark/test_robustness.py::test_run_suite_records_all_attacks PASSED [ 15%]
tests/benchmark/test_significance.py::TestPairedBootstrap::test_identical_systems PASSED [ 15%]
tests/benchmark/test_significance.py::TestPairedBootstrap::test_better_system_significant PASSED [ 15%]
tests/benchmark/test_significance.py::TestPairedBootstrap::test_cohens_d_positive PASSED [ 15%]
tests/benchmark/test_significance.py::TestHolmBonferroni::test_single_pvalue PASSED [ 15%]
tests/benchmark/test_significance.py::TestHolmBonferroni::test_correction_increases_pvalues PASSED [ 15%]
tests/benchmark/test_significance.py::TestHolmBonferroni::test_capped_at_one PASSED [ 15%]
tests/benchmark/test_significance.py::TestHolmBonferroni::test_empty PASSED [ 16%]
tests/benchmark/test_significance.py::test_multi_system_significance_report PASSED [ 16%]
tests/benchmark/test_speed_benchmark.py::test_percentile_basic PASSED    [ 16%]
tests/benchmark/test_speed_benchmark.py::test_percentile_empty_returns_zero PASSED [ 16%]
tests/benchmark/test_speed_benchmark.py::test_benchmark_inference_runs_stub_model PASSED [ 16%]
tests/benchmark/test_speed_benchmark.py::test_benchmark_competitors_skips_missing_gracefully PASSED [ 16%]
tests/benchmark/test_speed_benchmark.py::test_generate_speed_report_writes_markdown PASSED [ 16%]
tests/benchmark/test_standard_benchmarks.py::test_ud_to_canonical_case_and_number PASSED [ 16%]
tests/benchmark/test_standard_benchmarks.py::test_ud_to_canonical_possessive_joins PASSED [ 16%]
tests/benchmark/test_standard_benchmarks.py::test_ud_to_canonical_unknown_feat_skipped PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_load_trmorph2018 PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_load_trmorph2018_missing_raises PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_load_ud_test_split PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_evaluate_generation_mode_perfect PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_evaluate_disambiguation_mode_mock_zeyrek PASSED [ 17%]
tests/benchmark/test_standard_benchmarks.py::test_run_standard_benchmarks_writes_report PASSED [ 17%]
tests/benchmark/test_stratified_eval.py::test_morpheme_depth PASSED      [ 17%]
tests/benchmark/test_stratified_eval.py::test_exact_and_f1 PASSED        [ 17%]
tests/benchmark/test_stratified_eval.py::test_per_tag_prf PASSED         [ 17%]
tests/benchmark/test_stratified_eval.py::test_stratify_by_depth PASSED   [ 18%]
tests/benchmark/test_stratified_eval.py::test_top20_confusion_aligned PASSED [ 18%]
tests/benchmark/test_stratified_eval.py::test_build_report_with_balanced PASSED [ 18%]
tests/benchmark/test_stratified_eval.py::test_balanced_subset_builder PASSED [ 18%]
tests/benchmark/test_tag_frequency.py::test_extract_tags_basic PASSED    [ 18%]
tests/benchmark/test_tag_frequency.py::test_count_tags_and_classes PASSED [ 18%]
tests/benchmark/test_tag_frequency.py::test_resolve_corpus_path_fails_loudly PASSED [ 18%]
tests/benchmark/test_tag_frequency.py::test_resolve_corpus_path_picks_jsonl_first PASSED [ 18%]
tests/benchmark/test_tag_frequency.py::test_write_json_roundtrip PASSED  [ 18%]
tests/benchmark/test_tag_frequency.py::test_format_markdown_has_header PASSED [ 19%]
tests/benchmark/test_tag_frequency.py::test_tsv_corpus_last_column PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestTimeToThreshold::test_basic PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestTimeToThreshold::test_never_reached PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestTimeToThreshold::test_empty_history PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestTimeToThreshold::test_first_epoch PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestTimeToThreshold::test_custom_final_em PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestAULC::test_constant PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestAULC::test_increasing PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestAULC::test_empty PASSED [ 19%]
tests/benchmark/test_training_efficiency.py::TestRelativeEfficiency::test_faster PASSED [ 20%]
tests/benchmark/test_training_efficiency.py::TestRelativeEfficiency::test_same PASSED [ 20%]
tests/benchmark/test_training_efficiency.py::TestRelativeEfficiency::test_slower PASSED [ 20%]
tests/benchmark/test_training_efficiency.py::TestComputeAll::test_basic PASSED [ 20%]
tests/benchmark/test_training_efficiency.py::TestComputeAll::test_with_baseline PASSED [ 20%]
tests/benchmark/test_training_efficiency.py::TestFormatTable::test_output PASSED [ 20%]
tests/benchmark/test_weighted_em.py::test_emma_identical PASSED          [ 20%]
tests/benchmark/test_weighted_em.py::test_emma_disjoint PASSED           [ 20%]
tests/benchmark/test_weighted_em.py::test_emma_empty_both PASSED         [ 20%]
tests/benchmark/test_weighted_em.py::test_emma_family_partial PASSED     [ 21%]
tests/benchmark/test_weighted_em.py::test_weighted_em_perfect PASSED     [ 21%]
tests/benchmark/test_weighted_em.py::test_weighted_em_root_wrong PASSED  [ 21%]
tests/benchmark/test_weighted_em.py::test_weighted_em_tags_wrong PASSED  [ 21%]
tests/benchmark/test_weighted_em.py::test_score_pair_perfect PASSED      [ 21%]
tests/benchmark/test_weighted_em.py::test_corpus_weighted_em PASSED      [ 21%]
tests/benchmark/test_weighted_em.py::test_corpus_weighted_em_mixed PASSED [ 21%]
tests/classify/test_embeddings.py::TestTfidfPipeline::test_tfidf_logreg_basic PASSED [ 21%]
tests/classify/test_morph_features.py::TestFitTransform::test_fit_returns_self PASSED [ 21%]
tests/classify/test_morph_features.py::TestFitTransform::test_transform_returns_ndarray PASSED [ 21%]
tests/classify/test_morph_features.py::TestFitTransform::test_output_shape PASSED [ 22%]
tests/classify/test_morph_features.py::TestFitTransform::test_output_dtype PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureValues::test_noun_doc_has_high_noun_ratio PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureValues::test_plural_doc_has_high_plu_ratio PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureValues::test_lexical_diversity_all_unique PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureValues::test_verb_doc_higher_verb_ratio PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureNames::test_feature_names_count PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureNames::test_feature_names_are_strings PASSED [ 22%]
tests/classify/test_morph_features.py::TestFeatureNames::test_feature_names_include_expected PASSED [ 22%]
tests/core/test_analyzer.py::TestMorphoAnalyzerInit::test_default_backend PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerInit::test_explicit_zeyrek PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerInit::test_unknown_backend_raises PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerAnalyze::test_returns_token_analyses PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerAnalyze::test_parses_simple_word PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerAnalyze::test_parses_inflected_word PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerAnalyze::test_deduplicates_across_backends PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerCache::test_cache_hit PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerCache::test_cache_miss PASSED [ 23%]
tests/core/test_analyzer.py::TestMorphoAnalyzerCache::test_cache_returns_same_result PASSED [ 24%]
tests/core/test_analyzer.py::TestMorphoAnalyzerPipe::test_pipe_basic PASSED [ 24%]
tests/core/test_analyzer.py::TestMorphoAnalyzerContextManager::test_context_manager PASSED [ 24%]
tests/core/test_analyzer_cache.py::TestEnableCache::test_enable_cache_replaces PASSED [ 24%]
tests/core/test_analyzer_cache.py::TestEnableCache::test_enable_cache_disk PASSED [ 24%]
tests/core/test_analyzer_cache.py::TestCacheStats::test_cache_stats_property PASSED [ 24%]
tests/core/test_analyzer_cache.py::TestCacheStats::test_cache_stats_after_usage PASSED [ 24%]
tests/core/test_cache.py::TestAnalysisCache::test_put_and_get PASSED     [ 24%]
tests/core/test_cache.py::TestAnalysisCache::test_miss PASSED            [ 24%]
tests/core/test_cache.py::TestAnalysisCache::test_eviction PASSED        [ 24%]
tests/core/test_cache.py::TestAnalysisCache::test_lru_order PASSED       [ 25%]
tests/core/test_cache.py::TestAnalysisCache::test_hit_rate PASSED        [ 25%]
tests/core/test_cache.py::TestAnalysisCache::test_clear PASSED           [ 25%]
tests/core/test_cache.py::TestAnalysisCacheStats::test_stats_keys PASSED [ 25%]
tests/core/test_cache.py::TestAnalysisCacheStats::test_stats_empty PASSED [ 25%]
tests/core/test_cache.py::TestDiskCache::test_disk_roundtrip PASSED      [ 25%]
tests/core/test_cache.py::TestDiskCache::test_disk_miss PASSED           [ 25%]
tests/core/test_cache.py::TestDiskCache::test_disk_promotes_to_memory PASSED [ 25%]
tests/core/test_cache.py::TestDiskCache::test_disk_stats PASSED          [ 25%]
tests/core/test_cache.py::TestDiskCache::test_warm_from_disk PASSED      [ 26%]
tests/core/test_cache.py::TestDiskCache::test_warm_from_disk_no_disk PASSED [ 26%]
tests/core/test_cache.py::TestDiskCache::test_clear_both_tiers PASSED    [ 26%]
tests/core/test_cache.py::TestBackwardCompat::test_no_disk_path PASSED   [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_ascii_apostrophe PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_unicode_right_quote PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_unicode_modifier_apostrophe PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_unicode_left_quote PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_no_apostrophe PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_empty PASSED [ 26%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_apostrophe_at_start PASSED [ 27%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_apostrophe_at_end PASSED [ 27%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_iphone PASSED [ 27%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_biden PASSED [ 27%]
tests/core/test_code_switch.py::TestSplitForeignSuffix::test_netflix PASSED [ 27%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_verb_stem_la PASSED [ 27%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_verb_stem_le PASSED [ 27%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_proper_noun_uppercase PASSED [ 27%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_proper_noun_genitive PASSED [ 27%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_noun_lowercase PASSED [ 28%]
tests/core/test_code_switch.py::TestClassifyForeignRoot::test_noun_default PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_google_ladim PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_iphone_possessive PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_biden_dative PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_netflix_ablative PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_tweet_verb PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_abbreviation_defers PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_abbreviation_ab_defers PASSED [ 28%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_no_apostrophe PASSED [ 29%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_empty PASSED  [ 29%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_turkish_root_defers PASSED [ 29%]
tests/core/test_code_switch.py::TestDetectCodeSwitch::test_original_preserved PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_ladim PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_ledim PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_genitive_un PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_genitive_in PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_dative_a PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_dative_e PASSED [ 29%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_ablative_ten PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_ablative_dan PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_plural_ler PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_plural_lar PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_empty_suffix PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_none_vowel PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_relaxed_harmony_default PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_locative_da PASSED [ 30%]
tests/core/test_code_switch.py::TestAnalyzeForeignSuffixes::test_verb_prog PASSED [ 30%]
